ID,NPC Name,Question Text,Likes,Dislikes,Fixed Reaction,Reaction Like,Reaction Dislike,Reaction Neutral,Reaction Belittled
q_027,Warga Konflik Daerah,Kapan kami bisa hidup tenang tanpa takut baku tembak?,Dialog,Represif,Netral,"Akhirnya daerah kami mulai tenang, Pak.","Baku tembak masih aja terjadi, Pak.","Pak, saya tanya soal keamanan kok jawabnya ke arah lain?","Kami cuma mau hidup tenang, Pak, jangan dianggap remeh."
q_028,Menteri Keuangan,"Investor kami butuh kepastian regulasi, bukan kejutan kebijakan.","Investasi, Deregulasi",Nasionalisasi,Netral,"Kepastian regulasi ini yang investor butuhkan, Pak.","Kejutan kebijakan bikin investor kabur, Pak.","Maaf Pak, jawaban ini tidak menjawab soal kepastian regulasi kami.","Kepercayaan pasar itu mahal, Pak, jangan dianggap main-main."
q_029,Diplomat Kedutaan AS,Mitra dagang kami butuh sinyal jelas soal iklim investasi.,"Investasi, Dialog",Nasionalisasi,Netral,"Sinyal investasi ini positif bagi hubungan kita, Pak.","Ini bikin mitra dagang kami ragu, Pak.","Dengan hormat, jawaban ini kurang relevan dengan pertanyaan kami, Pak.","Hubungan bilateral ini serius, Pak, tolong jangan diremehkan."
q_030,Pengusaha Ekspor Sawit,Uni Eropa mempersulit ekspor sawit kita terus.,"Ekspor, Dialog",Represif,Netral,"Ekspor sawit kita makin lancar, terima kasih Pak.","Uni Eropa makin ketat aja, Pak, kita rugi.","Pak, itu jawabannya nyambung ke Uni Eropa nggak sih?","Sawit ini andalan ekspor kita, Pak, jangan dipandang enteng."
q_031,Petani Sawit Kecil,"Harga TBS anjlok, tengkulak yang untung.",Subsidi,Deregulasi,Netral,"Untung juga harga TBS mulai naik, Pak.","Harga TBS tetep anjlok, Pak, tengkulak yang untung.","Lah, saya tanya harga TBS kok jawabnya beda arah, Pak?","Kami petani kecil, Pak, jangan dianggap gak penting."
q_032,Buruh Perkebunan Sawit,"Upah kami di bawah standar, padahal sawit ini bikin negara kaya.","Bansos, Pajak",Deregulasi,Netral,"Akhirnya upah kami mulai layak, Pak.","Upah tetep di bawah standar, Pak.","Itu ada hubungannya sama upah kami nggak, Pak?","Sawit ini bikin negara kaya, Pak, jangan remehkan kami."
q_033,CEO Tambang,Regulasi lingkungan kita terlalu ketat dibanding negara lain.,"Deregulasi, Investasi",Represif,Netral,"Regulasi jadi lebih ramah usaha, terima kasih Pak.","Regulasi tetep ketat, Pak, kita kalah saing.","Jawaban ini tidak sepenuhnya menjawab soal regulasi kami, Pak.","Industri ini nyumbang besar ke negara, Pak, jangan dianggap enteng."
q_034,Pekerja Lepas,Kami nggak punya jaminan sosial sama sekali.,"Bansos, Dialog",Evaluasi,Netral,"Untung juga ada jaminan sosial sekarang, Pak.","Kami tetep gak punya jaminan apa-apa, Pak.","Pak, saya tanya jaminan sosial kok jawabnya ke lain hal?","Kami kerja keras tanpa perlindungan, Pak, jangan diremehin."
q_035,Influencer,"Pajak konten digital katanya mau naik, ini serius?",Dialog,Pajak,Netral,"Untung deh pajaknya gak jadi naik, Pak.","Pajak konten digital tetep naik, Pak, berat nih.","Lah, saya tanya pajak konten kok jawabnya ke mana-mana, Pak?","Konten kami juga kerja keras, Pak, bukan main-main doang."
q_036,Investor Kripto,"Regulasi kripto kita masih abu-abu, investor pada kabur.","Transparansi, Deregulasi",Represif,Netral,"Regulasi kripto jadi lebih jelas, terima kasih Pak.","Investor kripto makin kabur aja, Pak.","Ini nyambung ke regulasi kripto kami nggak sih, Pak?","Industri ini masa depan, Pak, jangan dipandang sebelah mata."
q_037,Pengusaha Pariwisata,Turis makin sepi gara-gara isu keamanan yang dibesar-besarkan.,"Investasi, Dialog",Represif,Netral,"Turis mulai rame lagi, terima kasih Pak!","Isu keamanan tetep bikin turis kabur, Pak.","Pak, saya tanya soal turis kok jawabnya beda topik?","Pariwisata ini nafas ekonomi daerah, Pak, jangan diremehin."
q_038,Warga Overtourism,"Air kami habis buat vila turis, warga lokal kebagian apa?","Evaluasi, Transparansi",Investasi,Netral,"Akhirnya air kami cukup lagi, Pak.","Air kami tetep habis buat vila turis, Pak.","Itu jawabannya nyambung ke air kami nggak, Pak?","Kami warga lokal juga butuh air, Pak, jangan dilupain."
q_039,Korban Investasi Bodong,"Uang tabungan kami raib, pengawas ke mana aja?","Transparansi, Represif",Tunda,Netral,"Untung juga ada tindakan tegas, terima kasih Pak.","Pengawas tetep aja gak keliatan, Pak.","Pak, saya tanya soal tabungan saya kok jawabnya melenceng?","Tabungan seumur hidup kami raib, Pak, ini bukan hal kecil."
q_040,Ibu Rumah Tangga,"Harga cabai sama minyak goreng naik terus, kasihan dapur kami.","Subsidi, Bansos",Impor,Netral,"Wah, akhirnya harga cabai mulai turun, Pak!","Harga tetep aja naik terus, Pak, kasihan dapur kami.","Lah kok jawabannya gak nyambung ya, Pak? Saya nanya harga cabai.","Dapur ini nyawa keluarga, Pak, jangan dianggap sepele."
q_041,Lansia,"Bantuan bulan ini belum cair, saya cuma makan seadanya.","Bansos, Maaf",Tunda,Netral,"Untung juga bantuan saya udah cair, Pak.","Bantuan tetep belum cair, Pak, saya makan seadanya.","Itu jawabannya soal apa ya, Pak? Saya nanya bantuan saya.","Saya udah tua, Pak, tolong jangan dianggap gak penting."
q_042,Penyandang Disabilitas,Fasilitas publik masih banyak yang nggak ramah difabel.,"Transparansi, Dialog",Evaluasi,Netral,"Akhirnya fasilitas jadi lebih ramah difabel, Pak.","Fasilitas tetep gak ramah difabel, Pak.","Pak, itu ada hubungannya sama fasilitas difabel kami nggak?","Kami juga warga negara, Pak, jangan dipandang sebelah mata."
q_043,Buruh Migran,Perlindungan buat kami di luar negeri masih lemah banget.,"Dialog, Transparansi",Represif,Netral,"Untung juga perlindungan kami membaik, Pak.","Perlindungan tetep lemah, Pak, kami rentan di luar negeri.","Kok jawabannya gak nyambung ke perlindungan kami, Pak?","Nyawa kami dipertaruhkan di negeri orang, Pak, jangan diremehin."
q_044,Ketua Serikat Pekerja,Upah minimum kita kalah jauh dari inflasi tahun ini.,"Pajak, Bansos",Deregulasi,Netral,"Akhirnya upah kami naik sesuai inflasi, Pak.","Upah tetep kalah sama inflasi, Pak.","Jawaban ini kurang relevan dengan tuntutan upah kami, Pak.","Buruh ini tulang punggung ekonomi, Pak, jangan dianggap remeh."
q_045,Ekonom,"Kebijakan fiskal kita perlu berbasis data, bukan sekadar populer.","Transparansi, Evaluasi",Represif,Netral,"Kebijakan berbasis data ini langkah tepat, Pak.","Kebijakan tetep berbasis popularitas aja, Pak.","Maaf Pak, jawaban ini tidak berbasis data sesuai yang kami maksud.","Ekonomi ini ilmu serius, Pak, bukan sekadar opini."
q_046,Anggota DPR Oposisi,"Pemerintah harus diawasi, bukan dibiarkan jalan sendiri.","Transparansi, Dialog",Represif,Netral,"Baik Pak, ini langkah pengawasan yang tepat.","Pemerintah tetep jalan sendiri aja, Pak.","Jawaban ini tidak menjawab fungsi pengawasan yang kami maksud, Pak.","Fungsi pengawasan ini penting, Pak, jangan dianggap mengganggu."
q_047,Anggota DPR Koalisi,"Kebijakan Bapak sudah baik, tinggal kita kawal bersama.",,,Supporter,"Betul Pak, kita kawal bersama terus!","Lah, kok gini sih Pak, padahal kita udah dukung.","Eh, itu jawabannya soal apa ya Pak? Tapi santai, tetep dukung.","Kami koalisi setia, Pak, masa gini balesannya."
q_048,Konsultan Dagang,"Kerja sama dagang kita harus saling menguntungkan, bukan janji.","Investasi, Dialog",Represif,Netral,"Kerja sama ini akhirnya saling menguntungkan, Pak.","Tetep aja kami yang dirugikan, Pak, bukan janji lagi.","Jawaban ini belum menjawab soal kerja sama dagang kami, Pak.","Kerja sama dagang ini serius, Pak, bukan basa-basi."
q_049,Pengungsi Ilegal,Kami mau tinggal disini!,,,Hater,"MAKASIH BANGET PAK, SAYA CINTA NEGARA INI!!","APA-APAAN INI PAK, SAYA MAU TINGGAL DI SINI!!",Hah? Itu jawabannya soal apa? Saya cuma mau tinggal di sini!,"SAYA GAK TERIMA DIREMEHIN GINI, PAK!!"
q_050,Netizen,Ini serius Pak jawabannya? Rakyat nunggu solusi bukan drama.,,,Hater,"Nah gini nih baru presiden becus, respect Pak. 👍",Ini beneran Pak jawabannya? Gak niat banget dah. 🙄,Lah Pak ini jawabannya nyambung ke pertanyaan gak sih? 🤨,"WOW OKE SIP, RAKYAT EMANG PANTES DIREMEHKAN YA PAK? 🤡"
